"","state","hate.crimes","crimes.against.society","creime_against_persons","creime_against_property"
"1","Alabama","17","0",13,4
"2","Alaska","13","0",8,4
"3","Arizona","291","0",218,73
"4","Arkansas","15","1",8,5
"5","California","1142","0",740,390
"6","Colorado","126","0",80,45
"7","Connecticut","124","5",70,49
"8","Delaware","19","0",14,5
"9","District of Columbia","127","0",102,25
"10","Florida","110","0",74,35
"11","Georgia","46","0",34,12
"12","Idaho","35","0",22,13
"13","Illinois","122","0",87,34
"14","Indiana","163","5",133,25
"15","Iowa","21","1",14,5
"16","Kansas","70","0",53,17
"17","Kentucky","241","2",130,107
"18","Louisiana","33","2",22,9
"19","Maine","45","0",30,15
"20","Maryland","40","0",22,18
"21","Massachusetts","444","2",281,158
"22","Michigan","459","16",342,100
"23","Minnesota","165","0",127,37
"24","Mississippi","10","0",3,7
"25","Missouri","114","1",80,32
"26","Montana","20","1",7,12
"27","Nebraska","35","2",24,9
"28","Nevada","49","0",35,14
"29","New Hampshire","40","0",30,10
"30","New Jersey","308","0",193,115
"31","New Mexico","36","0",27,9
"32","New York","598","0",271,320
"33","North Carolina","208","0",144,63
"34","North Dakota","8","0",8,0
"35","Ohio","508","3",315,190
"36","Oklahoma","35","0",26,8
"37","Oregon","122","2",72,48
"38","Pennsylvania","67","0",52,13
"39","Rhode Island","13","1",4,8
"40","South Carolina","23","0",13,10
"41","South Dakota","21","4",12,5
"42","Tennessee","190","14",125,51
"43","Texas","224","0",162,62
"44","Utah","72","13",29,30
"45","Vermont","26","0",10,16
"46","Virginia","150","1",95,53
"47","Washington","482","5",301,175
"48","West Virginia","48","1",30,17
"49","Wisconsin","42","0",24,18
"50","Wyoming","4","0",4,0
