"","state","avg_hatecrimes_per_100k_fbi_2010to2015","avg_hatecrimes_per_100k_fbi_2016","change"
"1","Alabama",1.806410489,0.349556885242531,"decrease"
"2","Alaska",1.656700109,1.75227188789773,"increase"
"3","Arizona",3.413927994,4.19848534230857,"increase"
"4","Arkansas",0.869208872,0.501966369591814,"decrease"
"5","California",2.397985899,2.90955287993888,"increase"
"6","Colorado",2.804688765,2.27414451105442,"decrease"
"7","Connecticut",3.772701469,3.46712328307496,"decrease"
"8","Delaware",1.469979563,1.9956620608887,"increase"
"9","District of Columbia",10.95347971,18.6443912679654,"increase"
"10","Florida",0.698070342,0.533658340965861,"decrease"
"11","Georgia",0.412011824,0.446152713612342,"increase"
"12","Idaho",1.891330529,2.07944674833941,"increase"
"13","Illinois",1.044015798,0.953010415388337,"decrease"
"14","Indiana",1.757356567,2.4573902846849,"increase"
"15","Iowa",0.561395565,0.669922062543286,"increase"
"16","Kansas",2.143986672,2.40774137005299,"increase"
"17","Kentucky",4.207889621,5.43162975487348,"increase"
"18","Louisiana",1.341169554,0.704877280865401,"decrease"
"19","Maine",2.626610924,3.37970031821756,"increase"
"20","Maryland",1.324839538,0.664844217858148,"decrease"
"21","Massachusetts",4.801899339,6.51812103710352,"increase"
"22","Michigan",3.200442266,4.62314797095172,"increase"
"23","Minnesota",3.612411816,2.9891564274472,"decrease"
"24","Mississippi",0.622745989,0.334590725278932,"decrease"
"25","Missouri",1.908954989,1.87099950763171,"decrease"
"26","Montana",2.954959378,1.91842842343552,"decrease"
"27","Nebraska",2.68624842,1.83523183697269,"decrease"
"28","Nevada",2.113990154,1.66663378749671,"decrease"
"29","New Hampshire",2.105988585,2.99671485134421,"increase"
"30","New Jersey",4.413202591,3.44346880737135,"decrease"
"31","New Mexico",1.886435184,1.72992506060744,"decrease"
"32","New York",3.102164284,3.02857051117358,"decrease"
"33","North Carolina",1.262679796,2.04990978425882,"increase"
"34","North Dakota",4.741069885,1.05547580849447,"decrease"
"35","Ohio",3.240420404,4.37389086780664,"increase"
"36","Oklahoma",1.08167215,0.892046791167513,"decrease"
"37","Oregon",3.394886113,2.98036015942484,"decrease"
"38","Pennsylvania",0.43092759,0.524083309847361,"increase"
"39","Rhode Island",1.282571834,1.23056418528132,"decrease"
"40","South Carolina",1.937082833,0.463605085868732,"decrease"
"41","South Dakota",3.301737127,2.42647211752444,"decrease"
"42","Tennessee",3.13605115,2.85662995245666,"decrease"
"43","Texas",0.752768305,0.803945188739771,"increase"
"44","Utah",2.384065044,2.35971417306603,"decrease"
"45","Vermont",1.90308139,4.16270409257854,"increase"
"46","Virginia",1.724754584,1.78320760530911,"increase"
"47","Washington",3.817740296,6.61361141602634,"increase"
"48","West Virginia",2.037053631,2.62137226653676,"increase"
"49","Wisconsin",1.121944651,0.726806061147232,"decrease"
"50","Wyoming",0.26694076,0.683175605165491,"increase"
